Unnamed: 0,Y,Unnamed: 2,X1,X2,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
Cheerios,0.67,3.7,0.07,0.03,0,9.3,0.1,1
Harmony,0.82,3.6,0.02,0.24,0,6.4,0.09,3
Smart Start,0.78,3.6,0.01,0.3,0,6.6,0.06,4
Cocoa Puffs,1.03,4.0,0.03,0.47,0,5.7,0.03,2
Lucky Charms,0.83,4.0,0.03,0.43,0,7.0,0.07,2
Corn Flakes,0.55,3.6,0.0,0.07,0,7.1,0.07,1
Fruit Loops,0.68,3.8,0.03,0.47,0,4.7,0.03,2
Wheaties,0.78,3.7,0.03,0.13,0,7.3,0.1,1
Cap'n Crunch,0.73,4.1,0.06,0.44,0,7.4,0.04,1
Frosted Flakes,0.65,3.9,0.0,0.39,0,4.8,0.03,1
Apple Jacks,0.81,3.9,0.02,0.48,0,4.5,0.03,2
Bran Flakes,0.7,3.3,0.02,0.17,0,7.0,0.1,4
Special K,0.78,3.5,0.0,0.13,0,7.1,0.23,1
Rice Krispies,0.95,3.6,0.0,0.09,0,9.7,0.06,4
Corn Pops,0.84,3.9,0.0,0.45,0,3.9,0.03,2
Trix,0.94,4.0,0.03,0.43,0,6.3,0.03,2
